License,Producer,PlantCount,acquired_datestamp
220336001,NJ Farms LLC - Stiles Rd Production,131,2022-11-03-214406
220313,Ojos Rojos Cannabis LLC - Ojo Sarco Production,17,2022-11-03-214406
P0005001,Organ Mountain Wellness LLC - Producer,165,2022-11-03-214406
220317,Organic Plant Pros LLC - CR 3000 Production,194,2022-11-03-214406
3055,Organtica - Production,147,2022-11-03-214406
220008001,Oryx King- Production,956,2022-11-03-214406
220447001,Paisaje Verde Inc - Stanley Production,7009,2022-11-03-214406
P0030001,Panacea Growers LLC - Bataan Production,1,2022-11-03-214406
3047,Pecos Valley - Production,3730,2022-11-03-214406
220061,Phat Boy Pharms LLC,104,2022-11-03-214406
220474001,Potato Road LLC - Potato Shed Rd Production,1192,2022-11-03-214406
P0012001,Primos Raw Organics - CR 6 Production,1640,2022-11-03-214406
220361001,Process Management Control,223,2022-11-03-214406
220004999,Process Management Control Production,1,2022-11-03-214406
2200040D,Process Management Controls- Production location-DUPLICATE DO NOT USE,648,2022-11-03-214406
3051,PurLife,269,2022-11-03-214406
4024,PurLife - PRODUCER  OUTDOOR,296,2022-11-03-214406
220222,Purpleprodigyy LLC - Quay Rd Production,114,2022-11-03-214406
220481,PV Farms - Lakeview Producer,204,2022-11-03-214406
220768,Rainwater Flowers LLC- Producer,25,2022-11-03-214406
22049,Ras Ible Cannabis - Lou Producer,11,2022-11-03-214406
220238001,RGC Growers LLC,269,2022-11-03-214406
220511001,Righteous Herb Ltd Co - Rd 4800 Production,403,2022-11-03-214406
220003001,Rio Grande Farmaceuticals LLC- production,507,2022-11-03-214406
220415,Rio Puerco Organics - Hwy 550 Production,130,2022-11-03-214406
220169,Rising Roots LLC - Entranosa Production,81,2022-11-03-214406
P0025001,Road Runner Organics LLC - Entrada Aragon Production,329,2022-11-03-214406
220016,Roadrunner Manufacturing,79,2022-11-03-214406
220589001,Rooster Production LLC - Murray Rd Production,8,2022-11-03-214406
220124001,Royal Cannabis LLC - San Benito Production,10,2022-11-03-214406
220287,S. Bear Farm - Belen Production,35,2022-11-03-214406
51,Sacred Garden,2727,2022-11-03-214406
220484,San Isidro Farm LLC - Charlotte Producer,190,2022-11-03-214406
220467,San Juan Natural - 541 Producer,165,2022-11-03-214406
53,Sandia Botanicals,159,2022-11-03-214406
220002001,Santa Fe Sugar Leaf,115,2022-11-03-214406
3065,Seven Clover,228,2022-11-03-214406
3049,Seven Point Farms,27,2022-11-03-214406
P0022001,Sol Cannabis LLC - Shining Star Ct Production,768,2022-11-03-214406
220414,Sol Flower Farm LLC - Apodaca Production,79,2022-11-03-214406
80074,Southwest Organic Producers Production- Seasonal,255,2022-11-03-214406
3067,Southwest Wellness Center,37,2022-11-03-214406
210039001,Stephen Lin Hayden - Producer,680,2022-11-03-214406
220364,Sticky Pines Farm LLC -Windmill Producer,15,2022-11-03-214406
220302001,Sues Craft Grow LLC - Portales Production,1,2022-11-03-214406
220394001,Sugar Skunk Farm LLC - Hwy 575 Production,154,2022-11-03-214406
220750,Sweet Ally Farms -Producer,25,2022-11-03-214406
220011,SWGD LLC,364,2022-11-03-214406
220714,Synyster Chriss Cannabis -Jornada Producer,1,2022-11-03-214406
220483001,Tafoya Farms LLC - Production,1147,2022-11-03-214406
P0037001,Taima Horticulture Collective LLC - Central Ave Production,11,2022-11-03-214406
220258,Taos Mountain Budz - Washam Ln Production,85,2022-11-03-214406
220471,Taos Organics LLC - Quintana Rd Production,188,2022-11-03-214406
220143,"The Bad Company, LLC - Production",11,2022-11-03-214406
220068001,The Canna Company,144,2022-11-03-214406
220802,The CannaBus LLC - Producer,145,2022-11-03-214406
220298001,The Cure NM  LLC - Central SE Production,11,2022-11-03-214406
220314,The Gas Grower LLC - Bloomfield Production,54,2022-11-03-214406
220265,The Greenhouse - Sategna Ln Production,47,2022-11-03-214406
220391,The Weed Den - Fawcettt Crt Production,290,2022-11-03-214406
220029,Thrive Apothecary NM LLC,24,2022-11-03-214406
P0039001,TNB Grow LLC - Cuesta Abajo Ct Production,3,2022-11-03-214406
220527001,Todas Verdes LLC - Oscuro Production,1000,2022-11-03-214406
220454001,Topself Growers LLC - Isleta SW Production,201,2022-11-03-214406
220277001,Truforia LLC - Hwy 314 Production,5800,2022-11-03-214406
220123001,"Twisted Roots LLC - Hadley Ave, Production",16,2022-11-03-214406
220353,U LA LA Cannabis Company LLC - Main Ave Production,13,2022-11-03-214406
220380001,UFO Organics LLC - Hwy 52 Production,152,2022-11-03-214406
80033,Verdes Foundation,58,2022-11-03-214406
57,Verdes Foundation,28,2022-11-03-214406
80063,Verdes Foundation,22,2022-11-03-214406
P0035001,Vertical LLC - 73 Producer,204,2022-11-03-214406
220017001,Vida Verde Ventures LLC,300,2022-11-03-214406
220270,Wildspeaker LLC - Louise Ave Production,69,2022-11-03-214406
220689,Woodward Gardens LLC - Dinkle Producer,3,2022-11-03-214406
P220040,Zia Dynastys Treehouse - 4883 Producer,166,2022-11-03-214406
220001005,Zia Science LLC,40,2022-11-03-214406
220003001,Ziawanna LLC - San Jose Production,20,2022-11-03-214406
