License,Producer,PlantCount,acquired_datestamp
P220035,Enchanted Desert Farms LLC - Redwine Production,47,2023-01-04-124541
220192001,ES Holdings LLC - Central Ave Production,173,2023-01-04-124541
80144,Everest Apothecary,2904,2023-01-04-124541
3069,Everest Apothecary-Production,26,2023-01-04-124541
P0023001,FCI of New Mexico - Production,18,2023-01-04-124541
220312001,Fora Farm LLC - State Rd 77 Production,4098,2023-01-04-124541
220403,Forest Road LLC - Tijeras Production,134,2023-01-04-124541
220402,Frances Melody Schnyder -Punti DR Producer,45,2023-01-04-124541
220282,Freedom Farms - Appaloosa Production,62,2023-01-04-124541
220198001,Fresh Grown Systems LLC -  Hwy 55 Production,83,2023-01-04-124541
12,Fruit of the Earth Organics-Producer,984,2023-01-04-124541
P220019,Genesis Organics LLC - Guinea Ln Production,698,2023-01-04-124541
14,GG Genetics,50,2023-01-04-124541
80140,GH LLC,2146,2023-01-04-124541
220347,Gila River Growers LLC - McCauley Rd Production,199,2023-01-04-124541
220359001,"Gold Fish Farm and Dispo, LLC -Carson Producer",205,2023-01-04-124541
220350001,Gold Hill Farms LLC - Gold Hill Rd Producer,475,2023-01-04-124541
P0011001,Golden Roots LLC - Wyoming - Production,1,2023-01-04-124541
MICB22000,Gradys LLC - Producer,168,2023-01-04-124541
P220138,"Grandpas Home Grown Herbs, LLC- Production",152,2023-01-04-124541
6001,GrassRoots Grants LLC,498,2023-01-04-124541
220496,Green Fuego - Mallard Producer,1,2023-01-04-124541
220285,Gropro - Marquez Ln Production,168,2023-01-04-124541
220021,Growers Reserve LLC,3,2023-01-04-124541
3063,Harvest Foundation,1113,2023-01-04-124541
80049,Harvest Foundation,883,2023-01-04-124541
220608,HDH Farms LLC - Loma Producer,4,2023-01-04-124541
18,Healthy Education Society,191,2023-01-04-124541
17,Healthy Education Society CLOSED,143,2023-01-04-124541
80084,Healthy Education Society Seasonal Production,67,2023-01-04-124541
220345,Hernandez Farm and Seed LLC - Hagerman Production,15,2023-01-04-124541
220503001,Herrera Cannabis Company - Salazar Production,266,2023-01-04-124541
220384,High Country Cannabis LLC - Estancia Production,117,2023-01-04-124541
220469,High Desert Fruit LLC - Jose Serna St Production,41,2023-01-04-124541
80029,High Desert Relief Production,26,2023-01-04-124541
220374,"High Living Enterprises , LLC - 48 Producer Micro",18,2023-01-04-124541
220280,High Mountain Solutions LLC - Bodean Rd Production,16,2023-01-04-124541
220006,High Mountian Health  Wellness LLC,14,2023-01-04-124541
220038001,High Noon Cannabis LLC,2814,2023-01-04-124541
P220037,Highlonesome Cannabis LLC - Silver City Production,107,2023-01-04-124541
220083,Iron Fist Cannabis LLC,19,2023-01-04-124541
220477,Jennys Itty bitty Farm - Wood Producer,80,2023-01-04-124541
220604,Karma Farms LLC - 5557 Producer,4,2023-01-04-124541
3053,Keyway - Production,935,2023-01-04-124541
80038,Keyway Albuquerque Production,6,2023-01-04-124541
210007003,"Keyway, Inc.",243,2023-01-04-124541
P220022,Kine LLC - Durazno Production,50,2023-01-04-124541
80127,"Kure, Inc",12,2023-01-04-124541
R220109,Las Perlas Verdes LLC,7,2023-01-04-124541
220078001,Leaf and Flower LLC,111,2023-01-04-124541
220327,Little Dog Farm - Rancho de Abo Production,67,2023-01-04-124541
220534001,Lonesome Farm LLC - Bassett Blvd Production,242,2023-01-04-124541
P220088,Los Primos Farms LLC - Solano Producer,1,2023-01-04-124541
220235,LW Farms LLC - Wrangler Rd Production,87,2023-01-04-124541
220400,Lx LLC - Richard Rd Production,109,2023-01-04-124541
220271,Lynette Keeth - N 1st St Production,60,2023-01-04-124541
220228,Madwax LLC - Arena Rd Production,100,2023-01-04-124541
220279001,Mama And The Girls - Alan Ayers Rd Production,683,2023-01-04-124541
220436001,"Manzano Partners, LLC - Bosque Producation",2903,2023-01-04-124541
220512,Mayhews Homegrown Cannabis LLC - Dancing Producer,110,2023-01-04-124541
220411,Mesquiteacresllc - Pawnee St Production,54,2023-01-04-124541
210022002,Minerva Canna Group,1551,2023-01-04-124541
220472,Mira Farms LLC - HWY Producer,182,2023-01-04-124541
80112,MJ Express-O,1181,2023-01-04-124541
23,MJ Express-O,467,2023-01-04-124541
7001,Mother Earth Herbs Albuquerque Grow,34,2023-01-04-124541
30,Mother Earth Herbs Las Cruces Producer,34,2023-01-04-124541
210034001,Mothers Meds LLC- Producer,162,2023-01-04-124541
220334001,Mr Bs Frosty Flower LLC - Elk Springs Dr Production,205,2023-01-04-124541
220240,Mystic Enchantment - Miami Production,36,2023-01-04-124541
220552001,NAB Ventures LLC - Animas Creek Rd Production,1,2023-01-04-124541
3,Natural Medicine of NM - Producer,318,2023-01-04-124541
80079,Natural Rx,46,2023-01-04-124541
220025,Natures Trichoma Garden,71,2023-01-04-124541
220196,New Beginnings - Juniper Ave Production,34,2023-01-04-124541
41,New Mexico Alternative Care,1887,2023-01-04-124541
220336001,NJ Farms LLC - Stiles Rd Production,131,2023-01-04-124541
220313,Ojos Rojos Cannabis LLC - Ojo Sarco Production,17,2023-01-04-124541
P0005001,Organ Mountain Wellness LLC - Producer,165,2023-01-04-124541
220317,Organic Plant Pros LLC - CR 3000 Production,194,2023-01-04-124541
3055,Organtica - Production,147,2023-01-04-124541
220008001,Oryx King- Production,956,2023-01-04-124541
220447001,Paisaje Verde Inc - Stanley Production,7009,2023-01-04-124541
P0030001,Panacea Growers LLC - Bataan Production,1,2023-01-04-124541
3047,Pecos Valley - Production,3730,2023-01-04-124541
220061,Phat Boy Pharms LLC,104,2023-01-04-124541
220474001,Potato Road LLC - Potato Shed Rd Production,1192,2023-01-04-124541
P0012001,Primos Raw Organics - CR 6 Production,1640,2023-01-04-124541
220361001,Process Management Control,223,2023-01-04-124541
220004999,Process Management Control Production,1,2023-01-04-124541
2200040D,Process Management Controls- Production location-DUPLICATE DO NOT USE,648,2023-01-04-124541
3051,PurLife,269,2023-01-04-124541
4024,PurLife - PRODUCER  OUTDOOR,296,2023-01-04-124541
220222,Purpleprodigyy LLC - Quay Rd Production,114,2023-01-04-124541
220481,PV Farms - Lakeview Producer,204,2023-01-04-124541
220768,Rainwater Flowers LLC- Producer,25,2023-01-04-124541
22049,Ras Ible Cannabis - Lou Producer,11,2023-01-04-124541
220238001,RGC Growers LLC,269,2023-01-04-124541
220511001,Righteous Herb Ltd Co - Rd 4800 Production,403,2023-01-04-124541
220003001,Rio Grande Farmaceuticals LLC- production,507,2023-01-04-124541
220415,Rio Puerco Organics - Hwy 550 Production,130,2023-01-04-124541
220169,Rising Roots LLC - Entranosa Production,81,2023-01-04-124541
P0025001,Road Runner Organics LLC - Entrada Aragon Production,329,2023-01-04-124541
220016,Roadrunner Manufacturing,79,2023-01-04-124541
220589001,Rooster Production LLC - Murray Rd Production,8,2023-01-04-124541
220124001,Royal Cannabis LLC - San Benito Production,10,2023-01-04-124541
220287,S. Bear Farm - Belen Production,35,2023-01-04-124541
51,Sacred Garden,2727,2023-01-04-124541
220484,San Isidro Farm LLC - Charlotte Producer,190,2023-01-04-124541
220467,San Juan Natural - 541 Producer,165,2023-01-04-124541
53,Sandia Botanicals,159,2023-01-04-124541
220002001,Santa Fe Sugar Leaf,115,2023-01-04-124541
3065,Seven Clover,228,2023-01-04-124541
3049,Seven Point Farms,27,2023-01-04-124541
P0022001,Sol Cannabis LLC - Shining Star Ct Production,768,2023-01-04-124541
220414,Sol Flower Farm LLC - Apodaca Production,79,2023-01-04-124541
80074,Southwest Organic Producers Production- Seasonal,255,2023-01-04-124541
3067,Southwest Wellness Center,37,2023-01-04-124541
210039001,Stephen Lin Hayden - Producer,680,2023-01-04-124541
220364,Sticky Pines Farm LLC -Windmill Producer,15,2023-01-04-124541
220302001,Sues Craft Grow LLC - Portales Production,1,2023-01-04-124541
220394001,Sugar Skunk Farm LLC - Hwy 575 Production,154,2023-01-04-124541
220750,Sweet Ally Farms -Producer,25,2023-01-04-124541
220011,SWGD LLC,364,2023-01-04-124541
220714,Synyster Chriss Cannabis -Jornada Producer,1,2023-01-04-124541
220483001,Tafoya Farms LLC - Production,1147,2023-01-04-124541
P0037001,Taima Horticulture Collective LLC - Central Ave Production,11,2023-01-04-124541
220258,Taos Mountain Budz - Washam Ln Production,85,2023-01-04-124541
220471,Taos Organics LLC - Quintana Rd Production,188,2023-01-04-124541
220143,"The Bad Company, LLC - Production",11,2023-01-04-124541
220068001,The Canna Company,144,2023-01-04-124541
220802,The CannaBus LLC - Producer,145,2023-01-04-124541
220298001,The Cure NM  LLC - Central SE Production,11,2023-01-04-124541
220314,The Gas Grower LLC - Bloomfield Production,54,2023-01-04-124541
220265,The Greenhouse - Sategna Ln Production,47,2023-01-04-124541
220391,The Weed Den - Fawcettt Crt Production,290,2023-01-04-124541
220029,Thrive Apothecary NM LLC,24,2023-01-04-124541
P0039001,TNB Grow LLC - Cuesta Abajo Ct Production,3,2023-01-04-124541
220527001,Todas Verdes LLC - Oscuro Production,1000,2023-01-04-124541
220454001,Topself Growers LLC - Isleta SW Production,201,2023-01-04-124541
220277001,Truforia LLC - Hwy 314 Production,5800,2023-01-04-124541
220123001,"Twisted Roots LLC - Hadley Ave, Production",16,2023-01-04-124541
220353,U LA LA Cannabis Company LLC - Main Ave Production,13,2023-01-04-124541
220380001,UFO Organics LLC - Hwy 52 Production,152,2023-01-04-124541
80033,Verdes Foundation,58,2023-01-04-124541
57,Verdes Foundation,28,2023-01-04-124541
80063,Verdes Foundation,22,2023-01-04-124541
P0035001,Vertical LLC - 73 Producer,204,2023-01-04-124541
220017001,Vida Verde Ventures LLC,300,2023-01-04-124541
220270,Wildspeaker LLC - Louise Ave Production,69,2023-01-04-124541
220689,Woodward Gardens LLC - Dinkle Producer,3,2023-01-04-124541
P220040,Zia Dynastys Treehouse - 4883 Producer,166,2023-01-04-124541
220001005,Zia Science LLC,40,2023-01-04-124541
220003001,Ziawanna LLC - San Jose Production,20,2023-01-04-124541
