City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp
Taos,187993.38,3377,332387.35,6963,520380.73,10340,May,May 2022,2022,2022-12-02-122043
Texico,4071.98,75,52175.72,759,56247.7,834,May,May 2022,2022,2022-12-02-122043
Raton,7823.5,149,57557.09,1088,65380.59,1237,May,May 2022,2022,2022-12-02-122043
Gallup,152929.41,3367,475993.69,13834,628923.1,17201,May,May 2022,2022,2022-12-02-122043
Deming,107660.51,2554,160245.1,4360,267905.61,6914,May,May 2022,2022,2022-12-02-122043
Estancia,4544.95,136,15417.99,437,19962.94,573,June,June 2022,2022,2022-12-02-122043
Alto,12107.1,260,45029.38,959,57136.48,1219,June,June 2022,2022,2022-12-02-122043
Roswell,545664.51,11415,350547.32,7288,896211.83,18703,June,June 2022,2022,2022-12-02-122043
Las Vegas,211315.68,4988,196453.2,4902,407768.88,9890,June,June 2022,2022,2022-12-02-122043
Clovis,407179.25,9453,665759.79,11381,1072939.04,20834,June,June 2022,2022,2022-12-02-122043
Espanola,283213.96,6346,292654.36,8123,575868.32,14469,June,June 2022,2022,2022-12-02-122043
Truth Or Consequences,202952.21,4806,140286.84,3492,343239.05,8298,June,June 2022,2022,2022-12-02-122043
Grants,170655.64,3558,162159.58,3956,332815.22,7514,June,June 2022,2022,2022-12-02-122043
Moriarty,0.0,0,186.7,4,186.7,4,June,June 2022,2022,2022-12-02-122043
Raton,8491.14,164,72241.73,1275,80732.87,1439,June,June 2022,2022,2022-12-02-122043
Los Alamos,16978.68,292,34429.31,755,51407.99,1047,June,June 2022,2022,2022-12-02-122043
Logan,0.0,0,5.0,1,5.0,1,June,June 2022,2022,2022-12-02-122043
Placitas,38692.3,619,21615.6,504,60307.9,1123,June,June 2022,2022,2022-12-02-122043
Edgewood,112293.07,2199,190139.34,4462,302432.41,6661,June,June 2022,2022,2022-12-02-122043
Taos,171247.45,3155,340784.3,7182,512031.75,10337,June,June 2022,2022,2022-12-02-122043
Farmington,224310.3,4491,471178.12,12237,695488.42,16728,June,June 2022,2022,2022-12-02-122043
Questa,20.0,1,8246.58,205,8266.58,206,June,June 2022,2022,2022-12-02-122043
Clayton,12412.88,298,136781.31,2162,149194.19,2460,June,June 2022,2022,2022-12-02-122043
Ruidoso,342937.8,6402,621860.53,11818,964798.34,18220,June,June 2022,2022,2022-12-02-122043
Cedar Crest,40232.75,795,47030.37,1146,87263.12,1941,June,June 2022,2022,2022-12-02-122043
Albuquerque,6701232.11,127916,7001438.36,166464,13702670.46,294380,June,June 2022,2022,2022-12-02-122043
Cloudcroft,5282.1,98,38337.5,666,43619.6,764,June,June 2022,2022,2022-12-02-122043
Rio Rancho,925054.97,15266,715786.49,15340,1640841.46,30606,June,June 2022,2022,2022-12-02-122043
Fort Sumner,5718.48,135,11288.34,285,17006.82,420,June,June 2022,2022,2022-12-02-122043
Tularosa,33134.86,778,34788.56,969,67923.42,1747,June,June 2022,2022,2022-12-02-122043
Gallup,137264.21,3028,462250.07,13629,599514.28,16657,June,June 2022,2022,2022-12-02-122043
Sunland Park,199698.46,3714,1286670.34,26515,1486368.8,30229,June,June 2022,2022,2022-12-02-122043
Deming,103752.14,2373,133855.66,3746,237607.8,6119,June,June 2022,2022,2022-12-02-122043
Tucumcari,61730.64,1376,249428.97,3956,311159.61,5332,June,June 2022,2022,2022-12-02-122043
Belen,67482.9,1434,104247.4,2557,171730.3,3991,June,June 2022,2022,2022-12-02-122043
Santa Fe,1594803.02,29715,1706156.94,38801,3300959.96,68516,June,June 2022,2022,2022-12-02-122043
Bernalillo,179951.22,3852,273210.17,7307,453161.39,11159,June,June 2022,2022,2022-12-02-122043
Portales,198968.86,5090,126625.82,3027,325594.68,8117,June,June 2022,2022,2022-12-02-122043
Eagle Nest,7129.64,141,33338.79,704,40468.43,845,June,June 2022,2022,2022-12-02-122043
Aztec,3090.59,61,17597.63,327,20688.22,388,June,June 2022,2022,2022-12-02-122043
Madrid,5590.82,106,29338.58,726,34929.4,832,June,June 2022,2022,2022-12-02-122043
Los Lunas,371796.76,7747,337010.62,8613,708807.38,16360,June,June 2022,2022,2022-12-02-122043
Los Ranchos,2519.86,75,8156.63,228,10676.49,303,June,June 2022,2022,2022-12-02-122043
Alamogordo,561370.7,12038,445645.9,11034,1007016.6,23072,June,June 2022,2022,2022-12-02-122043
Socorro,108383.08,2327,109245.16,2788,217628.24,5115,June,June 2022,2022,2022-12-02-122043
Las Cruces,1464402.36,30524,1673691.72,37397,3138094.08,67921,June,June 2022,2022,2022-12-02-122043
Anthony,22477.58,499,345069.26,7058,367546.84,7557,June,June 2022,2022,2022-12-02-122043
Silver City,226235.97,5037,161403.41,4286,387639.38,9323,June,June 2022,2022,2022-12-02-122043
Carlsbad,362535.09,6965,741409.53,12641,1103944.62,19606,June,June 2022,2022,2022-12-02-122043
Hobbs,389477.52,6635,1208011.22,14938,1597488.74,21573,June,June 2022,2022,2022-12-02-122043
Corrales,33590.7,506,34908.0,704,68498.7,1210,June,June 2022,2022,2022-12-02-122043
Texico,5245.0,99,63266.91,879,68511.91,978,June,June 2022,2022,2022-12-02-122043
Chaparral,20177.65,351,61456.25,1274,81633.9,1625,June,June 2022,2022,2022-12-02-122043
Aztec,9702.94,172,57327.26,1128,67030.2,1300,July,July 2022,2022,2022-12-02-122043
Texico,4567.0,82,68046.78,959,72613.78,1041,July,July 2022,2022,2022-12-02-122043
Tucumcari,55002.8,1292,296775.07,4595,351777.87,5887,July,July 2022,2022,2022-12-02-122043
Estancia,5184.3,151,16519.48,470,21703.78,621,July,July 2022,2022,2022-12-02-122043
Corrales,34120.2,481,38408.0,805,72528.2,1286,July,July 2022,2022,2022-12-02-122043
Chaparral,31286.62,581,128139.33,2307,159425.95,2888,July,July 2022,2022,2022-12-02-122043
Los Ranchos,3111.0,89,13799.13,294,16910.13,383,July,July 2022,2022,2022-12-02-122043
Alamogordo,601524.77,13330,504578.34,13700,1106103.11,27030,July,July 2022,2022,2022-12-02-122043
Las Vegas,216871.89,5022,222524.57,5728,439396.46,10750,July,July 2022,2022,2022-12-02-122043
Questa,4860.23,101,9568.93,241,14429.17,342,July,July 2022,2022,2022-12-02-122043
Los Alamos,20856.3,363,44256.08,867,65112.38,1230,July,July 2022,2022,2022-12-02-122043
Portales,201548.02,5064,134824.88,3361,336372.9,8425,July,July 2022,2022,2022-12-02-122043
Ruidoso,354845.49,6669,831991.72,14860,1186837.21,21529,July,July 2022,2022,2022-12-02-122043
Moriarty,10070.97,276,27639.95,752,37710.92,1028,July,July 2022,2022,2022-12-02-122043
Eagle Nest,7562.22,147,45792.2,873,53354.42,1020,July,July 2022,2022,2022-12-02-122043
Placitas,38474.96,614,19454.55,486,57929.51,1100,July,July 2022,2022,2022-12-02-122043
Grants,167722.05,3437,191959.87,4632,359681.92,8069,July,July 2022,2022,2022-12-02-122043
Chama,367.3,9,3980.57,87,4347.87,96,July,July 2022,2022,2022-12-02-122043
Silver City,211931.65,5048,168078.16,4601,380009.81,9649,July,July 2022,2022,2022-12-02-122043
Clovis,428416.98,9887,735346.34,12328,1163763.32,22215,July,July 2022,2022,2022-12-02-122043
Logan,5558.93,120,20091.59,372,25650.52,492,July,July 2022,2022,2022-12-02-122043
Bernalillo,184128.04,4096,302760.61,8206,486888.65,12302,July,July 2022,2022,2022-12-02-122043
Madrid,8753.58,150,29696.93,660,38450.51,810,July,July 2022,2022,2022-12-02-122043
Peralta,875.0,32,5497.18,199,6372.18,231,July,July 2022,2022,2022-12-02-122043
Rio Rancho,873533.24,14786,742207.56,16293,1615740.8,31079,July,July 2022,2022,2022-12-02-122043
Hobbs,363105.48,6321,1258993.66,15720,1622099.14,22041,July,July 2022,2022,2022-12-02-122043
Clayton,14017.71,366,164709.09,2515,178726.8,2881,July,July 2022,2022,2022-12-02-122043
Espanola,270425.79,6118,310571.11,8811,580996.9,14929,July,July 2022,2022,2022-12-02-122043
Alto,12123.53,256,65802.24,1276,77925.77,1532,July,July 2022,2022,2022-12-02-122043
Cedar Crest,40470.5,825,45938.0,1179,86408.5,2004,July,July 2022,2022,2022-12-02-122043
Tularosa,31603.92,819,30730.85,927,62334.77,1746,July,July 2022,2022,2022-12-02-122043
Las Cruces,1508996.44,30853,1803285.08,40126,3312281.52,70979,July,July 2022,2022,2022-12-02-122043
Carlsbad,358088.22,6913,788062.79,13909,1146151.01,20822,July,July 2022,2022,2022-12-02-122043
Raton,6445.86,104,81971.81,1396,88417.67,1500,July,July 2022,2022,2022-12-02-122043
Taos,175385.98,3270,434596.92,8801,609982.9,12071,July,July 2022,2022,2022-12-02-122043
Santa Fe,1623952.31,30280,1875359.51,42101,3499311.82,72381,July,July 2022,2022,2022-12-02-122043
Roswell,535138.43,11062,478949.79,9722,1014088.21,20784,July,July 2022,2022,2022-12-02-122043
Deming,93339.58,2263,153521.15,4422,246860.73,6685,July,July 2022,2022,2022-12-02-122043
Gallup,140732.06,3071,477184.82,13908,617916.88,16979,July,July 2022,2022,2022-12-02-122043
Sunland Park,182463.39,3572,1200598.97,27071,1383062.36,30643,July,July 2022,2022,2022-12-02-122043
Belen,81504.45,1686,128461.98,3085,209966.43,4771,July,July 2022,2022,2022-12-02-122043
Cloudcroft,12337.49,220,93573.86,1593,105911.35,1813,July,July 2022,2022,2022-12-02-122043
Los Lunas,369351.45,7781,380639.98,9738,749991.43,17519,July,July 2022,2022,2022-12-02-122043
Fort Sumner,9620.4,245,25168.85,585,34789.25,830,July,July 2022,2022,2022-12-02-122043
Albuquerque,6871759.42,130786,7629141.55,185049,14500900.97,315835,July,July 2022,2022,2022-12-02-122043
Socorro,99578.72,2170,103775.66,2810,203354.37,4980,July,July 2022,2022,2022-12-02-122043
Anthony,65697.89,1326,419106.96,8412,484804.85,9738,July,July 2022,2022,2022-12-02-122043
Farmington,200676.63,4175,565631.4,14523,766308.03,18698,July,July 2022,2022,2022-12-02-122043
Truth Or Consequences,196681.25,4756,143766.31,3660,340447.56,8416,July,July 2022,2022,2022-12-02-122043
Edgewood,97684.09,2062,173793.31,4263,271477.4,6325,July,July 2022,2022,2022-12-02-122043
Tatum,12549.21,144,35674.97,463,48224.18,607,July,July 2022,2022,2022-12-02-122043
Farmington,192284.23,4214,608371.07,15643,800655.3,19857,August,August 2022,2022,2022-12-02-122043
Portales,200720.81,5172,136527.63,3597,337248.44,8769,August,August 2022,2022,2022-12-02-122043
Bernalillo,177529.14,3967,317139.01,8899,494668.15,12866,August,August 2022,2022,2022-12-02-122043
Roswell,514529.01,10768,439306.28,9894,953835.29,20662,August,August 2022,2022,2022-12-02-122043
Los Ranchos,3602.59,106,14227.07,360,17829.66,466,August,August 2022,2022,2022-12-02-122043
