City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Los Alamos,7195.92,0,16618.03,0,23813.95,0,May,May 2022,2022,2022-11-04-145018,
Portales,209195.07,0,152356.64,0,361551.71,0,May,May 2022,2022,2022-11-04-145018,Texas
Alamogordo,620002.24,0,436507.1,0,1056509.34,0,May,May 2022,2022,2022-11-04-145018,
Roswell,626106.04,0,145968.55,0,772074.59,0,May,May 2022,2022,2022-11-04-145018,Texas
Bernalillo,160469.41,0,254450.69,0,414920.1,0,May,May 2022,2022,2022-11-04-145018,
Santa Fe,1659071.33,0,1718789.0,0,3377860.33,0,May,May 2022,2022,2022-11-04-145018,
Belen,60985.73,0,96966.38,0,157952.11,0,May,May 2022,2022,2022-11-04-145018,
Raton,7823.5,0,57557.09,0,65380.59,0,May,May 2022,2022,2022-11-04-145018,
Placitas,41886.6,0,24146.48,0,66033.08,0,May,May 2022,2022,2022-11-04-145018,
Belen,67482.9,0,104247.4,0,171730.3,0,June,June 2022,2022,2022-11-04-145018,
Rio Rancho,925054.97,0,715786.49,0,1640841.46,0,June,June 2022,2022,2022-11-04-145018,
Fort Sumner,5718.48,0,11288.34,0,17006.82,0,June,June 2022,2022,2022-11-04-145018,
Santa Fe,1592015.26,0,1704663.35,0,3296678.61,0,June,June 2022,2022,2022-11-04-145018,
Questa,20.0,0,8246.58,0,8266.58,0,June,June 2022,2022,2022-11-04-145018,
Las Vegas,210507.08,0,196031.45,0,406538.53,0,June,June 2022,2022,2022-11-04-145018,
Los Ranchos,2519.86,0,8156.63,0,10676.49,0,June,June 2022,2022,2022-11-04-145018,
Los Alamos,16978.68,0,34429.31,0,51407.99,0,June,June 2022,2022,2022-11-04-145018,
Socorro,108383.08,0,109245.16,0,217628.24,0,June,June 2022,2022,2022-11-04-145018,
Corrales,33590.7,0,34908.0,0,68498.7,0,June,June 2022,2022,2022-11-04-145018,
Clayton,12412.88,0,136781.31,0,149194.19,0,June,June 2022,2022,2022-11-04-145018,Texas
Truth Or Consequences,202952.21,0,140286.84,0,343239.05,0,June,June 2022,2022,2022-11-04-145018,
Cloudcroft,5282.1,0,38337.5,0,43619.6,0,June,June 2022,2022,2022-11-04-145018,
Los Lunas,371796.76,0,337010.62,0,708807.38,0,June,June 2022,2022,2022-11-04-145018,
Chaparral,20177.65,0,61456.25,0,81633.9,0,June,June 2022,2022,2022-11-04-145018,Texas
Anthony,22477.58,0,345135.86,0,367613.44,0,June,June 2022,2022,2022-11-04-145018,Texas
Alamogordo,561370.7,0,445645.9,0,1007016.6,0,June,June 2022,2022,2022-11-04-145018,
Eagle Nest,7129.64,0,33338.79,0,40468.43,0,June,June 2022,2022,2022-11-04-145018,
Aztec,3090.59,0,17597.63,0,20688.22,0,June,June 2022,2022,2022-11-04-145018,
Grants,169518.11,0,160860.54,0,330378.65,0,June,June 2022,2022,2022-11-04-145018,
Taos,171247.45,0,340784.3,0,512031.75,0,June,June 2022,2022,2022-11-04-145018,
Deming,103752.14,0,133855.66,0,237607.8,0,June,June 2022,2022,2022-11-04-145018,
Clovis,407179.25,0,665759.79,0,1072939.04,0,June,June 2022,2022,2022-11-04-145018,Texas
