Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
Bx3 Enterprises Llc - Retail,100 Mountain Park,Albuquerque,NM,87114,35.19464,-106.60708,1301.29,1683.85,2985.14,2023-01-04-124529
C.G. Corrigan Dispensery,1400 Main St. STE D,Los Lunas,NM,87031,34.804828,-106.705262,816081.56,834491.99,1650573.55,2023-01-04-124529
C.G. Corrigan-Santa Fe,802 Early St.,Santa Fe,NM,87505,35.67799,-105.95252,494003.34,453842.55,947845.89,2023-01-04-124529
Cannabias,1002 W Pierce,Carlsbad,NM,88220,32.439778,-104.255908,57995.77,206932.0,264927.77,2023-01-04-124529
Cannabias,1912 N Grimes,Hobbs,NM,88240,32.72014,-103.14454,157229.75,778868.21,936097.96,2023-01-04-124529
Cannabliss - Madrid Retail,2883 A NM 14,Madrid,NM,87010,35.417493,-106.137686,32359.64,225478.53,257838.17,2023-01-04-124529
Cannaceutics Dispensary,"4316 Carlisle Blvd. NE, Suite D",Albuquerque,NM,87107,35.117814,-106.604084,614344.86,0.0,614344.86,2023-01-04-124529
Cannacollc - 4Th St Retail,4212 4th St NW,Albuquerque,NM,87107,35.13857,-106.641295,19189.46,70789.25,89978.71,2023-01-04-124529
Cannaverse - Nevada Ave Retail,2305 Nevada Ave,Las Cruces,NM,88001,32.30317,-106.762334,101542.63,227423.84,328966.5,2023-01-04-124529
Canvas Organics Enterprises Llc,3000 San Pedro Drive NE Suite B,Albuquerque,NM,87110,35.084103,-106.650985,169620.51,403116.6,572737.1,2023-01-04-124529
Cardiel Botanica Ltd Co - Palomas Pl Retail,100 Palomas Pl Ste B-2,Sunland Park,NM,88063,31.81202,-106.59384,21669.41,129172.94,150842.35,2023-01-04-124529
Carolinas Choice Llc/ Retail Enterprise Rd,1404 Enterprise Rd,Socorro,NM,87801,34.02840651490425,-106.92064046859741,0.0,120.0,120.0,2023-01-04-124529
"Carolinas Choice, Llc - Copper Ave Retail",13600 Copper Ave NE,Albuquerque,NM,87123,35.07869,-106.49779,19519.45,57959.13,77478.58,2023-01-04-124529
Carver Family Farm- Retail Micro, 8917 Adams ST NE,Albuquerque,NM,87113,35.083681,-106.594187,307283.32,284413.35,591696.67,2023-01-04-124529
Carver Family Farm- Retail Micro,8917 Adams ST NE,Albuquerque,NM,87113,35.18765,-106.59498,238415.65,282145.67,520561.32,2023-01-04-124529
Cave City Cannabis Co Llp - Church St Retail,108 E Church St,Carlsbad,NM,88220,32.42869,-104.2256,117359.64,229650.06,347009.7,2023-01-04-124529
"Ccc Holdings, Llc","102 Mexican Avenue, Unit 420",Cloudcroft,NM,88317,32.95962,-105.74347,49303.0,301380.06,350683.06,2023-01-04-124529
Cg Corrigan Dispensary - Albuquerque,6614 Gulton Ct. NE,Albuquerque,NM,87109,35.15341,-106.59908,643203.14,477820.55,1121023.69,2023-01-04-124529
Cg Corrigan Dispensary - Placitas,"30 E Frontage Road, Suite D",Placitas,NM,87403,35.324364,-106.528674,296826.64,182377.43,479204.07,2023-01-04-124529
Chadcor Holdings Nm- Retail," 2240 E Lohman Ave., Unit 1",Las Cruces,NM,88001,32.31232,-106.75266,111873.58,216108.31,327981.89,2023-01-04-124529
Chillax Glass - Sudderth Rd Retail,200 Sudderth Rd Unit A  B,Ruidoso,NM,88345,33.33158,-105.673099,20161.83,61993.5,82155.33,2023-01-04-124529
Chronic Kings Llc - Lomas Blvd Retail,400 Lomas Blvd NE,Albuquerque,NM,87102,35.09048,-106.6454,66129.21,478543.06,544672.28,2023-01-04-124529
Cinder New Mexico Llc - 3Rd St Abq Retail,800 3rd St NW,Albuquerque,NM,87102,35.092916,-106.648801,49201.89,129582.69,178784.58,2023-01-04-124529
Cloud 9 Zendustries,5200 Constitution Avenue NE,Albuquerque,NM,87110,35.09444,-106.58731,5003.44,52302.61,57306.05,2023-01-04-124529
Cmc Cannabis Dispensary Llc/ Retail W Historic Hwy 66,611 W Historic HWY 66,Gallup,NM,87301,35.52608,-108.74848,20233.81,0.0,20233.81,2023-01-04-124529
Compassionate Distributors Alamogordo,2617 N. White Sands Blvd. Ste. D,Alamogordo,NM,88310,32.92334,-105.96109,419357.76,387309.07,806666.83,2023-01-04-124529
Compassionate Distributors Dispensary - Roswell,117 West Walnut,Roswell,NM,88203,33.39214,-104.52373,380395.05,283108.83,663503.87,2023-01-04-124529
Compassionate Distributors Dispensary - Ruidoso,1100 Sudderth Dr.,Ruidoso,NM,88345,33.3255,-105.65858,315210.45,475492.96,790703.41,2023-01-04-124529
Compassionate Distributors Dispensary - Ruidoso,1216 Mechem Dr.,Ruidoso,NM,88345,33.342463,-105.674117,50224.21,712.0,50936.21,2023-01-04-124529
Compassionate Distributors Dispensary-Carlsbad,1704 S. Canal Street,Carlsbad,NM,88220,32.38989,-104.218898,328011.1,667772.72,995783.82,2023-01-04-124529
Compassionate Distributors Hobbs,1822 S. Dal Paso,Hobbs,NM,88240,32.6824,-103.1269,149016.65,1046719.08,1195735.73,2023-01-04-124529
Compassionate Distributors Inc,1321 N Pile St,Clovis,NM,88101,34.419312,-103.20401,215805.92,227414.27,443220.19,2023-01-04-124529
Compassionate Distributors Incorporated,401 Anthony Dr,Anthony,NM,88021,32.00367,-106.60652,37935.36,107440.65,145376.01,2023-01-04-124529
Compassionate Distributors Incorporated,338 Paseo Del Pueblo Sur Unit 2,Taos,NM,87571,36.407249,-105.573066,99809.54,206833.34,306642.88,2023-01-04-124529
Compassionate Distributors Incorporated,1925 Appaloosa Ste 4-5,Sunland Park,NM,88063,31.796496,-106.579989,1202.0,0.0,1202.0,2023-01-04-124529
Compassionate Distributors Incorporated - Don Diego Retail,713 Don Diego Ave,Santa Fe,NM,87505,35.671007,-105.949429,80312.23,133023.23,213335.46,2023-01-04-124529
Compassionate Distributors Incorporated/ Retail 2Nd Street Nw,1100 2nd Street NW,Albuquerque,NM,87102,35.09385,-106.64729,14114.25,18435.55,32549.8,2023-01-04-124529
Compassionate Distributors Incorporated/ Retail Lomas Blvd Nw,1520 Lomas Blvd NW,Albuquerque,NM,87102,35.09052,-106.62624,4417.0,5522.69,9939.69,2023-01-04-124529
Compassionate Distributors Las Cruces,609 E Amador Ave,Las Cruces,NM,88011,32.30958,-106.763195,328103.78,329838.53,657942.31,2023-01-04-124529
Compassionate Distributors Oso Cannabis Retail,17839-A US 84/285,Santa Fe,NM,87056,35.86753,-106.00331,120.0,0.0,120.0,2023-01-04-124529
Compassionate Distributors Portales,1429 S. Avenue D,Portales,NM,88130,34.17623,-103.33456,232954.73,181481.39,414436.12,2023-01-04-124529
Corrales Hemporium Llc/ Retail Corrales Road,4484 Corrales Road,Corrales,NM,87048,35.22469,-106.61432,2812.95,6982.46,9795.41,2023-01-04-124529
"Cowboy Verde Llc - Mabry Dr, Clovis Retail",1605 Mabry Dr,Clovis,NM,88101,34.395166,-103.160806,68139.2,712324.64,780463.84,2023-01-04-124529
Cowboy Verde Llc/ Retail S Main,211 S Main,Belen,NM,87002,34.6596,-106.77777,7911.87,25628.48,33540.34,2023-01-04-124529
Cowboy Verde Llc/ Retail Us-54,124 US-54,Logan,NM,88426,35.373634,-103.406929,11465.97,48016.44,59482.41,2023-01-04-124529
Cranium Extracts Llc,"4501 4th Street NW, Suite E",Albuquerque,NM,87107,35.12891,-106.64335,48097.57,102182.64,150280.21,2023-01-04-124529
Deep Sky Cannabis Llc - Luana St Retail,1320 Luana St,Santa Fe,NM,87505,35.661898,-105.983216,145083.34,322288.78,467372.12,2023-01-04-124529
Deming Cannabis Company Llc - Spruce St Retail,1113 W Spruce St,Deming,NM,88030,32.26651,-107.77133,95870.94,218534.1,314405.04,2023-01-04-124529
Deming Ganja Lounge Llc/ Retail North 8Th Street Suite B,119 North 8th Street Suite B,Deming,NM,88030,32.26851,-107.76852,2388.0,3231.5,5619.5,2023-01-04-124529
Desert Flower Llc - Aztec Rd Retail,1308 W Aztec Blvd,Aztec,NM,87410,36.82656,-108.00874,0.0,23828.7,23828.7,2023-01-04-124529
Dispensary Near Me/ Retail Nm47,2384 NM 47,Belen,NM,87002,34.66075,-106.73686,55585.5,129158.5,184744.0,2023-01-04-124529
Distinguished Dispensary Llc - English Rd Retail,4601 English Rd,Farmington,NM,87402,36.77012,-108.14932,25073.57,484001.32,509074.89,2023-01-04-124529
Downtown Dispensary Tucumcari,113 S 2nd St,Tucumcari,NM,88401,35.17855,-103.72632,73644.86,331681.23,405326.09,2023-01-04-124529
Duke City Herbs - Central Ave Retail,4012 Central Ave SE,Albuquerque,NM,87108,35.07902,-106.59929,25.0,928.53,953.53,2023-01-04-124529
Dulce Cannabis,2000 Carlisle Blvd NE Suite B,Albuquerque,NM,87110,35.10123,-106.60386,99755.98,374127.31,473883.29,2023-01-04-124529
"Earl And Tom Llc - Main St, Clovis Retail",106 S Main St,Clovis,NM,88101,34.382582,-103.205293,190900.62,794694.9,985595.52,2023-01-04-124529
Elements Dispensary Llc/ Retail Lomas Blvd Ne,9901 Lomas Blvd NE,Albuquerque,NM,87112,35.0876,-106.53661,16680.57,33365.94,50046.51,2023-01-04-124529
Elevation 6420 Llc - Mechem Dr - Retail,101 Mechem Dr,Ruidoso,NM,88345,33.33461,-105.68155,405418.81,1159259.8,1564678.59,2023-01-04-124529
Elevation 6420 Llc - Sudderth Dr - Retail,2553 Sudderth Dr,Ruidoso,NM,88345,33.328558,-105.663388,19147.86,105637.81,124785.67,2023-01-04-124529
Elkhorn Retail Llc/ Retail 98Th St Sw,101 98th St SW,Albuquerque,NM,87121,35.07343,-106.74322,187679.47,302023.9,489703.37,2023-01-04-124529
Elkhorn Retail Llc/ Retail Cerrillos Road,1829 Cerrillos Road,Santa Fe,NM,87505,35.66517,-105.97311,656967.68,880747.29,1537714.97,2023-01-04-124529
Elkhorn Retail Llc/ Retail Montgomery Road,9132 Montgomery Road,Albuquerque,NM,87111,35.13036,-106.54066,145302.96,108016.55,253319.51,2023-01-04-124529
Elkhorn Retail Llc/ Retail N Guadalupe,604 N Guadalupe,Santa Fe,NM,87501,35.69513,-105.95089,74996.33,167666.93,242663.26,2023-01-04-124529
Elkhorn Retail Llc/ Retail Old Santa Fe Trail,507 Old Santa Fe Trail,Santa Fe,NM,87505,35.68108,-105.93751,161032.53,364644.68,525677.21,2023-01-04-124529
Elkhorn Retail Llc/ Retail Paseo Del Pueblo Sur Suite C,925 Paseo Del Pueblo Sur Suite C,Taos,NM,87571,36.38625,-105.58473,73586.37,199121.55,272707.92,2023-01-04-124529
Elkhorn Retail Llc/ Retail Paseo Del Sur Suite A,1033 Paseo Del Sur Suite A,Taos,NM,87571,36.37651,-105.5535,231300.96,261071.88,492372.84,2023-01-04-124529
Elkhorn Retail Llc/ Retail San Pedro Dr Ne,2325 San Pedro Dr NE,Albuquerque,NM,87110,35.10918,-106.577475,146449.86,154845.43,301295.29,2023-01-04-124529
Elkhorn Retail Llc/ Retail South Riverside Drive,423 South Riverside Drive,Espanola,NM,87532,35.98869,-106.06504,182582.25,209224.77,391807.02,2023-01-04-124529
Enchanted Botanicals Llc - Central Ave Retail,3417 Central Avenue NE,Albuquerque,NM,87106,35.081436,-106.626727,31851.89,52532.89,84384.76,2023-01-04-124529
Enchanted Botanicals Llc - Menaul Blvd Retail,5737 Menaul Blvd NE,Albuquerque,NM,87110,35.108845,-106.531508,391974.73,780011.64,1171986.33,2023-01-04-124529
Enchanted Life Nm - Louisiana Retail,400 Louisiana SE,Albuquerque,NM,87108,35.072436,-106.568382,33729.29,63712.56,97441.84,2023-01-04-124529
Enchanted Strains Llc - 7Th St Retail,2300 7th St,Clovis,NM,88101,34.404591,-103.244803,43283.75,163846.21,207129.97,2023-01-04-124529
Endo Llc - Retail,2903 Agua Fria St,Santa Fe,NM,87507,35.66348,-105.99777,249513.82,477634.63,727148.45,2023-01-04-124529
Es Holdings Llc - Central Retail,8508 Central Ave SE,Albuquerque,NM,87108,35.07369,-106.55229,125303.37,262005.41,387308.78,2023-01-04-124529
Everest Apothecary,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,31.796496,-106.579989,206563.22,2740525.15,2947088.37,2023-01-04-124529
Everest Apothecary,3963 Cerrillos Rd Ste B,Santa Fe,NM,87507,35.620423,-106.028899,263605.06,772287.68,1035892.74,2023-01-04-124529
Everest Apothecary,1240 S Valley Dr Ste D,Las Cruces,NM,88005,32.29426,-106.78681,185433.51,421595.0,607028.51,2023-01-04-124529
Everest Apothecary,6010 Coors Blvd Ste 3,Albuquerque,NM,87120,35.080009,-106.710619,377456.78,987515.25,1364972.03,2023-01-04-124529
Everest Apothecary,202 N State St,Texico,NM,88135,34.39003,-103.04489,12551.06,61238.43,73789.49,2023-01-04-124529
Everest Apothecary - Albuquerque Dispensary,"10660 Unser Blvd., NW",Albuquerque,NM,87114,35.076944,-106.722994,751640.14,1316222.02,2067862.16,2023-01-04-124529
Everest Apothecary - Dispensary,9237 4th St. NW,Albuquerque,NM,87114,35.13928,-106.641083,580460.86,949270.71,1529731.57,2023-01-04-124529
Everest Apothecary - Las Cruces Dispensary,3841 East Lohman Ave,Las Cruces,NM,88011,32.316103,-106.743652,594843.68,1256644.61,1851488.29,2023-01-04-124529
Everest Apothecary - Los Lunas Dispensary,"1651 Main Street, Suite E",Los Lunas,NM,87031,34.81342,-106.75385,719925.97,1210855.67,1930781.64,2023-01-04-124529
Everest Apothecary - Retail,5809 Juan Tabo,Albuquerque,NM,87111,35.136266,-106.515627,545689.07,1001317.62,1547006.69,2023-01-04-124529
Everest Apothecary Dispensary,"2201 Louisiana, Suite E",Albuquerque,NM,87110,35.10412,-106.56938,774891.4,1270297.04,2045188.44,2023-01-04-124529
Everest Apothecary- Albuquerque Dispensary,"4201 Central Avenue NW, Suite B-6",Albuquerque,NM,87105,35.08665,-106.68715,595159.32,827023.75,1422183.07,2023-01-04-124529
Factory Direct Pipes Rec - 7Th St Retail,321 W 7th St Ste B,Clovis,NM,88101,34.40443,-103.20884,2036.88,104177.28,106214.16,2023-01-04-124529
Fci Of New Mexico - Cerrillos Rd Retail,3258 Cerrillos Rd,Santa Fe,NM,87507,35.65069,-105.99825,55984.17,124897.01,180881.18,2023-01-04-124529
Fci Of New Mexico - Espanola Retail,419 N Riverside Dr,Espanola,NM,87532,35.987709,-106.061802,118122.14,235520.4,353642.54,2023-01-04-124529
Fci Of New Mexico - Eubank Blvd Retail,2015 Eubank Blvd NE,Albuquerque,NM,87112,35.121251,-106.533379,209441.31,645042.55,854483.86,2023-01-04-124529
Fci Of New Mexico - Farmington Retail,3501 E Main St Ste 1  2,Farmington,NM,87402,36.730429,-108.208919,37545.54,312498.58,350044.12,2023-01-04-124529
Fci Of New Mexico - Gallup Retail,1379 US-491,Gallup,NM,87301,35.54611,-108.75966,55960.14,548231.27,604191.41,2023-01-04-124529
Fci Of New Mexico - Picacho Ave Retail,140 W Picacho Ave Unit C,Las Cruces,NM,88005,32.3171,-106.7818,14106.1,40800.62,54906.72,2023-01-04-124529
Fci Of New Mexico - Production,1319 E Pine St,Deming,NM,88030,32.269194,-107.75366,6041.27,0.0,6041.27,2023-01-04-124529
Fci Of New Mexico - Roswell Retail,2303 N Main St,Roswell,NM,88201,33.42004,-104.5225,36715.56,88446.26,125161.82,2023-01-04-124529
Fci Of New Mexico - San Mateo Blvd Retail,4000 San Mateo Blvd NE Ste A,Albuquerque,NM,87110,35.12669,-106.58595,88951.01,283323.08,372274.09,2023-01-04-124529
Fci Of New Mexico - Taos Retail,1128 Paseo del Pueblo Sur,Taos,NM,87571,36.400675,-105.57606,96741.58,395803.89,492545.47,2023-01-04-124529
Flora Verde Llc - Maguey Ct Retail,100 Maguey Ct,Sunland Park,NM,88063,31.81139,-106.59334,54178.15,482661.94,536840.09,2023-01-04-124529
Flowers And Herb Markets Inc - San Pasquale Retail,119 San Pasquale Ave SW Ste A,Albuquerque,NM,87104,35.091831,-106.669324,24887.96,86706.32,111594.28,2023-01-04-124529
Flowers Flowers Lc - Retail,700 E 1st St Space 748,Alamogordo,NM,88310,32.88921,-105.95451,59702.45,90147.21,149849.66,2023-01-04-124529
Fly High New Mexico Llc/ Retail San Mateo Blvd Ne Ste C,4001 San Mateo Blvd NE STE C,Albuquerque,NM,87110,35.12682,-106.5869,8130.6,16774.46,24905.06,2023-01-04-124529
Fort Twenty Cannabis Company Llc - Jefferson St Retail,7600 Jefferson St NE Ste 6,Albuquerque,NM,87109,35.142281,-106.595766,50267.55,143643.44,193910.99,2023-01-04-124529
Fratelli Investment Group Llc - Solano Dr Retail,908 S Solano Dr,Las Cruces,NM,88001,32.30352,-106.7638,921.63,7262.68,8184.31,2023-01-04-124529
Freshbudz Llc - Riverside Dr Retail,1811 N Riverside Dr Ste A,Espanola,NM,87532,36.01892,-106.06365,146164.04,243348.24,389512.28,2023-01-04-124529
Fruit Of The Earth Organics Processing,815 C Early Street,Santa Fe,NM,87505,35.678316,-105.952308,3378.0,0.0,3378.0,2023-01-04-124529
Fruit Of The Earth Organics-Dispensary,901 Early Street,Santa Fe,NM,87505,35.67639,-105.95201,2037038.75,949298.77,2986337.52,2023-01-04-124529
Gaia Traders - Rufina Retail,1330 Rufina Circle,Santa Fe,NM,87507,35.654071,-105.995537,23084.9,101377.3,124462.2,2023-01-04-124529
Gallegos  Rhodes Enterprises Llc - Kent Ave Retail,1125 Kent Ave NW,Albuquerque,NM,87102,35.08797,-106.66037,82179.75,320897.66,403077.39,2023-01-04-124529
Gh Llc,601 Paragon,Albuquerque,NM,87105,35.125806,-106.664999,320151.66,562624.6,882776.26,2023-01-04-124529
Gh Llc,2621 Wyoming,Albuquerque,NM,87112,35.11584,-106.55129,194385.13,377250.6,571635.73,2023-01-04-124529
Gnomad Llc-Broadway Retail,223 West Broadway Ste A,Tatum,NM,88267,33.25682,-103.31589,87617.96,395893.36,483511.32,2023-01-04-124529
Golden-Roots Llc - Old Coors Dr Retail,806 Old Coors Dr SW Ste D,Albuquerque,NM,87121,35.0714,-106.69911,143202.87,354839.8,498042.67,2023-01-04-124529
Got Greens Llc - Corrales Rd Retail,10200 Corrales Rd NW Ste E-2,Albuquerque,NM,87114,35.20306,-106.64579,2353.56,0.0,2353.56,2023-01-04-124529
Gradys - Retail,111 N Main,Aztec,NM,87410,36.822063,-107.992899,50856.13,279616.65,330472.78,2023-01-04-124529
Grandmas Pot Shop Llc - Peralta,2 Valencia Rd,Peralta,NM,87042,34.81524,-106.69502,42378.68,100643.66,143022.34,2023-01-04-124529
Grassroots Grants Llc Dispensary Gallup,3400 East Hwy 66,Gallup,NM,87301,35.50481,-108.83635,184158.79,510865.08,695023.87,2023-01-04-124529
Grassroots Rx Dispensary,1005 Mesa Blvd.,Grants,NM,87357,35.160449,-107.834061,152385.06,284491.91,436876.97,2023-01-04-124529
Grassroots Rx Dispensary Albuquerque,3701 San Mateo Blvd. NE,Albuquerque,NM,87110,35.116409,-106.586451,54887.62,66006.62,120894.24,2023-01-04-124529
Grassroots Rx Dispensary Albuquerque,3620 Bosque Plaza Lane NW,Albuquerque,NM,87120,35.158592,-106.678019,204939.31,263247.7,468187.01,2023-01-04-124529
Green Fuego/ Retail Mallard Way B,7502 Mallard Way B,Santa Fe,NM,87507,35.63553,-106.06538,21320.94,44827.88,66148.82,2023-01-04-124529
Green Minded Holdings Llc,876 Highway 48,Alto,NM,88312,35.978924,-105.308068,100487.97,439932.47,540420.44,2023-01-04-124529
Green Minded Holdings Llc,6505 US Highway 380,Carrizozo,NM,88301,33.65033,-105.87703,5284.91,11541.77,16826.68,2023-01-04-124529
Green Minded Holdings Llc,2330 Sudderth Drive,Ruidoso,NM,88345,33.33139,-105.6697,37953.0,394125.5,432078.5,2023-01-04-124529
Green Minded Holdings Llc,2330 Sudderth Dr,Ruidoso,NM,88345,33.33139,-105.6697,3555.43,66908.23,70463.66,2023-01-04-124529
Green Remedy Enterprises Llc - Solano,590 S Solano,Las Cruces,NM,88001,32.30809,-106.76516,12604.05,42153.19,54757.24,2023-01-04-124529
"Green Therapy Dispensary, Llc","460 County Line Drive, Space F",Chaparral,NM,88081,32.03179,-106.37773,23724.62,178914.59,202639.21,2023-01-04-124529
Greengo Nm - Lohman Ave Retail,2000 E Lohman Ave Ste E,Las Cruces,NM,88001,32.31091,-106.75653,75022.02,299479.57,374501.59,2023-01-04-124529
H2H Distribution Llc,2400 Juan Tabo Blvd NE Suite B,Albuquerque,NM,87112,35.084103,-106.650985,12118.48,43498.8,55617.28,2023-01-04-124529
H2H Distribution Llc,300 San Mateo Blvd SE,Albuquerque,NM,87108,35.075751,-106.58633,130305.24,454686.0,584991.24,2023-01-04-124529
Happydaze Llc,5000 Jefferson St NE,Albuquerque,NM,87109,35.142281,-106.595766,66762.67,158275.67,225038.34,2023-01-04-124529
Harvest Foundation,150 South St. Francis Drive,Santa Fe,NM,87501,35.68804,-105.95452,260177.81,254962.67,515140.48,2023-01-04-124529
Harvest Foundation - Sudderth Dr,925 Sudderth Dr,Ruidoso,NM,88345,33.328558,-105.663388,59790.62,78058.81,137849.43,2023-01-04-124529
Harvest Foundation Albuquerque Dispensary,"220 Copper Avenue NW, Suite 110, Unit 4",Albuquerque,NM,87102,35.086165,-106.65618,669783.6,440776.8,1110560.4,2023-01-04-124529
Hashtag Cannabis Llc - Retail,2460 Missouri Ave,Las Cruces,NM,88001,32.296573,-106.752708,160067.5,386966.83,547034.33,2023-01-04-124529
Healing Herbz/ Retail N Main St,2320 N Main St,Clovis,NM,88101,34.42204,-103.20562,13443.8,14973.42,28417.22,2023-01-04-124529
Healthy Education Society,2409 W. Pierce Street,Carlsbad,NM,88220,32.439778,-104.255908,297453.38,204392.02,501845.4,2023-01-04-124529
Herrera Cannabis Company/ Retail Hwy 550,6404 Hwy 550,Cuba,NM,87013,36.019,-106.95994,15303.99,175753.1,191057.09,2023-01-04-124529
Hes- Retail,3306 Central Ave SE,Albuquerque,NM,87106,35.080948,-106.617689,146935.39,660806.69,807742.08,2023-01-04-124529
