Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
Bosque Buds Llc/ Retail 6Th St Nw,2505 6th St NW,Albuquerque,NM,87102,35.11043,-106.64875,1915.5,4755.58,6671.08,2022-12-02-154633
Boutique High - Lomas Blvd Retail,13025 Lomas Blvd NE Ste B,Albuquerque,NM,87112,35.087592,-106.542626,39237.14,136224.2,175461.34,2022-12-02-154633
Bryans Greencare Retail, 2117 Sudderth,Ruidoso,NM,88345,33.328558,-105.663388,19904.7,141102.28,161006.98,2022-12-02-154633
Bryans Greencare Retail, 3108 North Main,Roswell,NM,88201,33.629001,-104.553122,19487.7,62428.35,81916.05,2022-12-02-154633
Bryans Greencare Retail,201 North Grimes,Hobbs,NM,88240,32.714508,-103.144847,134814.55,1135067.38,1269881.93,2022-12-02-154633
Bryans Greencare Retail,2117 Sudderth,Ruidoso,NM,88345,33.33048,-105.66713,10302.39,62500.36,72802.75,2022-12-02-154633
Bryans Greencare Retail,3108 North Main,Roswell,NM,88201,33.629001,-104.553122,13237.8,91626.8,104864.6,2022-12-02-154633
Bud Board Dispensary Llc - Pierce Retail,618 W Pierce,Carlsbad,NM,88220,32.439778,-104.255908,350206.78,1492575.5,1842782.28,2022-12-02-154633
Bud Brothers Llc - Hobbs Retail,2702 W Marland Blvd,Hobbs,NM,88240,32.69685,-103.17012,1563.04,149165.37,150728.41,2022-12-02-154633
Bud In Bud Out Llc,915 E Main St,Tucumcari,NM,88401,35.179079,-103.725539,29737.91,100913.14,130651.05,2022-12-02-154633
Budder Pros,121 US Route 66,Moriarty,NM,87035,34.99005,-106.049189,47528.61,132415.86,179944.47,2022-12-02-154633
Budding Hope,1514 Coors Blvd Ste B,Albuquerque,NM,87121,35.191492,-106.657001,477461.17,521050.69,998511.86,2022-12-02-154633
Budding Hope - San Mateo Retail,2621 San Mateo Blvd NE Ste B,Albuquerque,NM,87110,35.102909,-106.58681,461097.22,402039.48,863136.7,2022-12-02-154633
Budding Industries Llc - Burro Ave Retail,504 Burro Ave,Cloudcroft,NM,88317,32.95855,-105.739787,30679.04,207410.1,238089.14,2022-12-02-154633
Buffalo Bud Farming Co Llc - Retail,910 N Pope St,Silver City,NM,88061,32.777642,-108.275913,74218.18,101080.43,175298.61,2022-12-02-154633
Bx3 Enterprises Llc - Retail,100 Mountain Park,Albuquerque,NM,87114,35.19464,-106.60708,0.0,7.2,7.2,2022-12-02-154633
C.G. Corrigan Dispensery,1400 Main St. STE D,Los Lunas,NM,87031,34.804828,-106.705262,761545.73,761150.37,1522696.1,2022-12-02-154633
C.G. Corrigan-Santa Fe,802 Early St.,Santa Fe,NM,87505,35.67799,-105.95252,453324.99,411072.06,864397.05,2022-12-02-154633
Cannabias,1912 N Grimes,Hobbs,NM,88240,32.72014,-103.14454,118125.66,536412.24,654537.9,2022-12-02-154633
Cannabias,1002 W Pierce,Carlsbad,NM,88220,32.439778,-104.255908,39252.94,154247.39,193500.33,2022-12-02-154633
Cannabliss - Madrid Retail,2883 A NM 14,Madrid,NM,87010,35.417493,-106.137686,29229.24,212247.33,241476.57,2022-12-02-154633
Cannaceutics Dispensary,"4316 Carlisle Blvd. NE, Suite D",Albuquerque,NM,87107,35.117814,-106.604084,557577.55,0.0,557577.55,2022-12-02-154633
Cannacollc - 4Th St Retail,4212 4th St NW,Albuquerque,NM,87107,35.13857,-106.641295,14370.62,52440.59,66811.21,2022-12-02-154633
Cannaverse - Nevada Ave Retail,2305 Nevada Ave,Las Cruces,NM,88001,32.30317,-106.762334,84854.25,182299.27,267153.54,2022-12-02-154633
Canvas Organics Enterprises Llc,3000 San Pedro Drive NE Suite B,Albuquerque,NM,87110,35.084103,-106.650985,147114.51,349735.85,496850.35,2022-12-02-154633
Cardiel Botanica Ltd Co - Palomas Pl Retail,100 Palomas Pl Ste B-2,Sunland Park,NM,88063,31.81202,-106.59384,10978.53,73493.4,84471.93,2022-12-02-154633
"Carolinas Choice, Llc - Copper Ave Retail",13600 Copper Ave NE,Albuquerque,NM,87123,35.07869,-106.49779,9135.87,27248.87,36384.74,2022-12-02-154633
Carver Family Farm- Retail Micro, 8917 Adams ST NE,Albuquerque,NM,87113,35.083681,-106.594187,307283.32,284413.35,591696.67,2022-12-02-154633
Carver Family Farm- Retail Micro,8917 Adams ST NE,Albuquerque,NM,87113,35.18765,-106.59498,184051.8,210156.02,394207.82,2022-12-02-154633
Cave City Cannabis Co Llp - Church St Retail,108 E Church St,Carlsbad,NM,88220,32.42869,-104.2256,101483.14,196247.85,297730.99,2022-12-02-154633
"Ccc Holdings, Llc","102 Mexican Avenue, Unit 420",Cloudcroft,NM,88317,32.95962,-105.74347,43424.87,269801.17,313226.04,2022-12-02-154633
Cg Corrigan Dispensary - Albuquerque,6614 Gulton Ct. NE,Albuquerque,NM,87109,35.154736,-106.60042,593566.36,442083.08,1035649.44,2022-12-02-154633
Cg Corrigan Dispensary - Placitas,"30 E Frontage Road, Suite D",Placitas,NM,87403,35.324364,-106.528674,269686.89,163863.51,433550.4,2022-12-02-154633
Chadcor Holdings Nm- Retail," 2240 E Lohman Ave., Unit 1",Las Cruces,NM,88001,32.31232,-106.75266,39330.12,91691.72,131021.84,2022-12-02-154633
Chillax Glass - Sudderth Rd Retail,200 Sudderth Rd Unit A  B,Ruidoso,NM,88345,33.33158,-105.673099,9188.35,30074.85,39263.2,2022-12-02-154633
Chronic Kings Llc - Lomas Blvd Retail,400 Lomas Blvd NE,Albuquerque,NM,87102,35.09048,-106.6454,48974.79,417274.66,466249.46,2022-12-02-154633
Cinder New Mexico Llc - 3Rd St Abq Retail,800 3rd St NW,Albuquerque,NM,87102,35.092916,-106.648801,32315.63,88091.26,120406.89,2022-12-02-154633
Cloud 9 Zendustries,5200 Constitution Avenue NE,Albuquerque,NM,87110,35.09444,-106.58731,4521.44,49759.11,54280.55,2022-12-02-154633
Cmc Cannabis Dispensary Llc/ Retail W Historic Hwy 66,611 W Historic HWY 66,Gallup,NM,87301,35.52608,-108.74848,14601.45,0.0,14601.45,2022-12-02-154633
Compassionate Distributors Alamogordo,2617 N. White Sands Blvd. Ste. D,Alamogordo,NM,88310,32.92334,-105.96109,381913.76,350237.07,732150.83,2022-12-02-154633
Compassionate Distributors Dispensary - Roswell,117 West Walnut,Roswell,NM,88203,33.39214,-104.52373,354080.05,231882.63,585962.67,2022-12-02-154633
Compassionate Distributors Dispensary - Ruidoso,1216 Mechem Dr.,Ruidoso,NM,88345,33.342463,-105.674117,50224.21,712.0,50936.21,2022-12-02-154633
Compassionate Distributors Dispensary - Ruidoso,1100 Sudderth Dr.,Ruidoso,NM,88345,33.328558,-105.663388,289235.85,448022.96,737258.81,2022-12-02-154633
Compassionate Distributors Dispensary-Carlsbad,1704 S. Canal Street,Carlsbad,NM,88220,32.38989,-104.218898,304879.72,618287.68,923167.4,2022-12-02-154633
Compassionate Distributors Hobbs,1822 S. Dal Paso,Hobbs,NM,88240,32.733511,-103.12758,139906.15,966762.54,1106668.69,2022-12-02-154633
Compassionate Distributors Inc,1321 N Pile St,Clovis,NM,88101,34.419312,-103.20401,199891.42,207468.57,407359.99,2022-12-02-154633
Compassionate Distributors Incorporated,338 Paseo Del Pueblo Sur Unit 2,Taos,NM,87571,36.407249,-105.573066,95192.84,197009.73,292202.57,2022-12-02-154633
Compassionate Distributors Incorporated,401 Anthony Dr,Anthony,NM,88021,32.00367,-106.60652,27443.06,71605.95,99049.01,2022-12-02-154633
Compassionate Distributors Incorporated,1925 Appaloosa Ste 4-5,Sunland Park,NM,88063,31.796496,-106.579989,1202.0,0.0,1202.0,2022-12-02-154633
Compassionate Distributors Incorporated - Don Diego Retail,713 Don Diego Ave,Santa Fe,NM,87505,35.671007,-105.949429,74750.13,122135.63,196885.76,2022-12-02-154633
Compassionate Distributors Incorporated/ Retail 2Nd Street Nw,1100 2nd Street NW,Albuquerque,NM,87102,35.09385,-106.64729,9542.75,13145.8,22688.55,2022-12-02-154633
Compassionate Distributors Incorporated/ Retail Lomas Blvd Nw,1520 Lomas Blvd NW,Albuquerque,NM,87102,35.09052,-106.62624,2452.0,3427.99,5879.99,2022-12-02-154633
Compassionate Distributors Las Cruces,609 E Amador Ave,Las Cruces,NM,88011,32.30958,-106.763195,300428.18,309374.53,609802.71,2022-12-02-154633
Compassionate Distributors Oso Cannabis Retail,17839-A US 84/285,Santa Fe,NM,87056,35.86753,-106.00331,120.0,0.0,120.0,2022-12-02-154633
Compassionate Distributors Portales,1429 S. Avenue D,Portales,NM,88130,34.17623,-103.33456,219005.23,165141.09,384146.32,2022-12-02-154633
Corrales Hemporium Llc/ Retail Corrales Road,4484 Corrales Road,Corrales,NM,87048,35.22469,-106.61432,1696.2,5386.36,7082.56,2022-12-02-154633
"Cowboy Verde Llc - Mabry Dr, Clovis Retail",1605 Mabry Dr,Clovis,NM,88101,34.395166,-103.160806,59592.77,628666.76,688259.53,2022-12-02-154633
Cowboy Verde Llc/ Retail S Main,211 S Main,Belen,NM,87002,34.6596,-106.77777,4300.51,9868.62,14169.13,2022-12-02-154633
Cowboy Verde Llc/ Retail Us-54,124 US-54,Logan,NM,88426,35.373634,-103.406929,11465.97,48016.44,59482.41,2022-12-02-154633
Cranium Extracts Llc,"4501 4th Street NW, Suite E",Albuquerque,NM,87107,35.12891,-106.64335,43594.34,88575.02,132169.36,2022-12-02-154633
Deep Sky Cannabis Llc - Luana St Retail,1320 Luana St,Santa Fe,NM,87505,35.661898,-105.983216,112175.34,231981.53,344156.87,2022-12-02-154633
Deming Cannabis Company Llc - Spruce St Retail,1113 W Spruce St,Deming,NM,88030,32.26651,-107.77133,71934.95,157723.17,229658.12,2022-12-02-154633
Desert Flower Llc - Aztec Rd Retail,1308 W Aztec Blvd,Aztec,NM,87410,36.82656,-108.00874,0.0,10690.86,10690.86,2022-12-02-154633
Dispensary Near Me/ Retail Nm47,2384 NM 47,Belen,NM,87002,34.66075,-106.73686,30478.5,68960.75,99439.25,2022-12-02-154633
Distinguished Dispensary Llc - English Rd Retail,4601 English Rd,Farmington,NM,87402,36.77012,-108.14932,21325.07,422111.23,443436.3,2022-12-02-154633
Downtown Dispensary Tucumcari,113 S 2nd St,Tucumcari,NM,88401,35.149432,-103.726257,65433.76,293387.34,358821.1,2022-12-02-154633
Duke City Herbs - Central Ave Retail,4012 Central Ave SE,Albuquerque,NM,87108,35.07902,-106.59929,25.0,928.53,953.53,2022-12-02-154633
Dulce Cannabis,2000 Carlisle Blvd NE Suite B,Albuquerque,NM,87110,35.10123,-106.60386,91466.04,338896.03,430362.07,2022-12-02-154633
"Earl And Tom Llc - Main St, Clovis Retail",106 S Main St,Clovis,NM,88101,34.382582,-103.205293,165796.12,707601.39,873397.51,2022-12-02-154633
Elements Dispensary Llc/ Retail Lomas Blvd Ne,9901 Lomas Blvd NE,Albuquerque,NM,87112,35.0876,-106.53661,8390.51,17701.45,26091.96,2022-12-02-154633
Elevation 6420 Llc - Mechem Dr - Retail,101 Mechem Dr,Ruidoso,NM,88345,33.334636,-105.681501,370724.81,1050124.73,1420849.52,2022-12-02-154633
Elevation 6420 Llc - Sudderth Dr - Retail,2553 Sudderth Dr,Ruidoso,NM,88345,33.328558,-105.663388,19147.86,105637.81,124785.67,2022-12-02-154633
Elkhorn Retail Llc/ Retail 98Th St Sw,101 98th St SW,Albuquerque,NM,87121,35.07343,-106.74322,143097.21,227462.12,370559.33,2022-12-02-154633
Elkhorn Retail Llc/ Retail Montgomery Road,9132 Montgomery Road,Albuquerque,NM,87111,35.13036,-106.54066,107964.86,83978.63,191943.49,2022-12-02-154633
Elkhorn Retail Llc/ Retail N Guadalupe,604 N Guadalupe,Santa Fe,NM,87501,35.69513,-105.95089,55889.14,120283.21,176172.35,2022-12-02-154633
Elkhorn Retail Llc/ Retail Old Santa Fe Trail,507 Old Santa Fe Trail,Santa Fe,NM,87505,35.68108,-105.93751,150944.37,329119.67,480064.04,2022-12-02-154633
Elkhorn Retail Llc/ Retail Paseo Del Pueblo Sur Suite C,925 Paseo Del Pueblo Sur Suite C,Taos,NM,87571,36.38625,-105.58473,59747.75,159579.21,219326.96,2022-12-02-154633
Elkhorn Retail Llc/ Retail Paseo Del Sur Suite A,1033 Paseo Del Sur Suite A,Taos,NM,87571,36.37651,-105.5535,183296.91,205015.5,388312.41,2022-12-02-154633
Elkhorn Retail Llc/ Retail San Pedro Dr Ne,2325 San Pedro Dr NE,Albuquerque,NM,87110,35.10918,-106.577475,115445.65,120802.68,236248.33,2022-12-02-154633
Elkhorn Retail Llc/ Retail South Riverside Drive,423 South Riverside Drive,Espanola,NM,87532,35.993394,-106.067986,139888.38,165953.23,305841.61,2022-12-02-154633
Enchanted Botanicals Llc - Central Ave Retail,3417 Central Avenue NE,Albuquerque,NM,87106,35.081436,-106.626727,5558.66,7410.13,12968.78,2022-12-02-154633
Enchanted Botanicals Llc - Menaul Blvd Retail,5737 Menaul Blvd NE,Albuquerque,NM,87110,35.108845,-106.531508,335674.21,672069.07,1007743.25,2022-12-02-154633
Enchanted Life Nm - Louisiana Retail,400 Louisiana SE,Albuquerque,NM,87108,35.072436,-106.568382,19380.37,38625.14,58005.5,2022-12-02-154633
Enchanted Strains Llc - 7Th St Retail,2300 7th St,Clovis,NM,88101,34.404591,-103.244803,35027.83,121706.02,156733.86,2022-12-02-154633
Endo Llc - Retail,2903 Agua Fria St,Santa Fe,NM,87507,35.66348,-105.99777,208732.29,399713.88,608446.17,2022-12-02-154633
Es Holdings Llc - Central Retail,8508 Central Ave SE,Albuquerque,NM,87108,35.079398,-106.601646,106725.9,227792.9,334518.8,2022-12-02-154633
Everest Apothecary,1240 S Valley Dr Ste D,Las Cruces,NM,88005,32.298116,-106.789104,159456.92,350325.75,509782.67,2022-12-02-154633
Everest Apothecary,1580 Appaloosa Dr Ste 320,Sunland Park,NM,88063,31.796496,-106.579989,190768.22,2357909.05,2548677.27,2022-12-02-154633
Everest Apothecary,3963 Cerrillos Rd Ste B,Santa Fe,NM,87507,35.620423,-106.028899,233085.59,677317.49,910403.08,2022-12-02-154633
Everest Apothecary,202 N State St,Texico,NM,88135,34.39003,-103.04489,4785.28,25088.54,29873.82,2022-12-02-154633
Everest Apothecary,6010 Coors Blvd Ste 3,Albuquerque,NM,87120,35.080009,-106.710619,340606.35,872156.56,1212762.91,2022-12-02-154633
Everest Apothecary - Albuquerque Dispensary,"10660 Unser Blvd., NW",Albuquerque,NM,87114,35.076944,-106.722994,671089.55,1156129.62,1827219.17,2022-12-02-154633
Everest Apothecary - Dispensary,9237 4th St. NW,Albuquerque,NM,87114,35.13928,-106.641083,519172.7,851054.36,1370227.06,2022-12-02-154633
Everest Apothecary - Las Cruces Dispensary,3841 East Lohman Ave,Las Cruces,NM,88011,32.316103,-106.743652,539124.55,1131405.83,1670530.38,2022-12-02-154633
Everest Apothecary - Los Lunas Dispensary,"1651 Main Street, Suite E",Los Lunas,NM,87031,34.81342,-106.75385,655149.04,1088502.1,1743651.14,2022-12-02-154633
Everest Apothecary - Retail,5809 Juan Tabo,Albuquerque,NM,87111,35.136266,-106.515627,491822.37,887261.77,1379084.14,2022-12-02-154633
Everest Apothecary Dispensary,"2201 Louisiana, Suite E",Albuquerque,NM,87110,35.10412,-106.56938,695837.03,1117815.85,1813652.88,2022-12-02-154633
Everest Apothecary- Albuquerque Dispensary,"4201 Central Avenue NW, Suite B-6",Albuquerque,NM,87105,35.083574,-106.694604,549179.17,756158.89,1305338.06,2022-12-02-154633
Factory Direct Pipes Rec - 7Th St Retail,321 W 7th St Ste B,Clovis,NM,88101,34.40443,-103.20884,1791.39,86102.97,87894.36,2022-12-02-154633
Fci Of New Mexico - Cerrillos Rd Retail,3258 Cerrillos Rd,Santa Fe,NM,87507,35.65069,-105.99825,32491.68,67873.79,100365.47,2022-12-02-154633
Fci Of New Mexico - Espanola Retail,419 N Riverside Dr,Espanola,NM,87532,35.987709,-106.061802,96843.76,189406.51,286250.27,2022-12-02-154633
Fci Of New Mexico - Eubank Blvd Retail,2015 Eubank Blvd NE,Albuquerque,NM,87112,35.121251,-106.533379,179077.24,552125.91,731203.15,2022-12-02-154633
Fci Of New Mexico - Farmington Retail,3501 E Main St Ste 1  2,Farmington,NM,87402,36.730429,-108.208919,30447.16,253326.72,283773.88,2022-12-02-154633
Fci Of New Mexico - Gallup Retail,1379 US-491,Gallup,NM,87301,35.54611,-108.75966,45353.24,417864.97,463218.21,2022-12-02-154633
Fci Of New Mexico - Picacho Ave Retail,140 W Picacho Ave Unit C,Las Cruces,NM,88005,32.3171,-106.7818,3669.17,11363.83,15033.0,2022-12-02-154633
Fci Of New Mexico - Production,1319 E Pine St,Deming,NM,88030,32.269194,-107.75366,6041.27,0.0,6041.27,2022-12-02-154633
Fci Of New Mexico - Roswell Retail,2303 N Main St,Roswell,NM,88201,33.42004,-104.5225,10495.94,22501.55,32997.49,2022-12-02-154633
Fci Of New Mexico - San Mateo Blvd Retail,4000 San Mateo Blvd NE Ste A,Albuquerque,NM,87110,35.12669,-106.58595,73768.3,231973.75,305742.05,2022-12-02-154633
Fci Of New Mexico - Taos Retail,1128 Paseo del Pueblo Sur,Taos,NM,87571,36.400675,-105.57606,77847.48,312670.18,390517.66,2022-12-02-154633
Flora Verde Llc - Maguey Ct Retail,100 Maguey Ct,Sunland Park,NM,88063,31.81139,-106.59334,39117.95,323160.44,362278.39,2022-12-02-154633
Flowers And Herb Markets Inc - San Pasquale Retail,119 San Pasquale Ave SW Ste A,Albuquerque,NM,87104,35.091831,-106.669324,18944.93,71155.81,90100.74,2022-12-02-154633
Flowers Flowers Lc - Retail,700 E 1st St Space 748,Alamogordo,NM,88310,32.88921,-105.95451,49018.76,66316.23,115334.99,2022-12-02-154633
Fort Twenty Cannabis Company Llc - Jefferson St Retail,7600 Jefferson St NE Ste 6,Albuquerque,NM,87109,35.142281,-106.595766,43227.54,122083.03,165310.57,2022-12-02-154633
Fratelli Investment Group Llc - Solano Dr Retail,908 S Solano Dr,Las Cruces,NM,88001,32.30352,-106.7638,0.0,2076.41,2076.41,2022-12-02-154633
Freshbudz Llc - Riverside Dr Retail,1811 N Riverside Dr Ste A,Espanola,NM,87532,36.01892,-106.06365,100498.38,166595.9,267094.28,2022-12-02-154633
Fruit Of The Earth Organics Processing,815 C Early Street,Santa Fe,NM,87505,35.678316,-105.952308,175.0,0.0,175.0,2022-12-02-154633
Fruit Of The Earth Organics-Dispensary,901 Early Street,Santa Fe,NM,87505,35.678316,-105.952308,1835708.15,832345.22,2668053.37,2022-12-02-154633
Gaia Traders - Rufina Retail,1330 Rufina Circle,Santa Fe,NM,87507,35.654071,-105.995537,17562.5,79903.5,97466.0,2022-12-02-154633
Gallegos  Rhodes Enterprises Llc - Kent Ave Retail,1125 Kent Ave NW,Albuquerque,NM,87102,35.08797,-106.66037,73317.85,287865.05,361182.88,2022-12-02-154633
Gh Llc,2621 Wyoming,Albuquerque,NM,87112,35.11584,-106.55129,137062.87,285451.72,422514.59,2022-12-02-154633
Gh Llc,601 Paragon,Albuquerque,NM,87105,35.125806,-106.664999,320151.66,562624.6,882776.26,2022-12-02-154633
Gnomad Llc-Broadway Retail,223 West Broadway Ste A,Tatum,NM,88267,33.25682,-103.31589,77478.36,319719.19,397197.55,2022-12-02-154633
Golden-Roots Llc - Old Coors Dr Retail,806 Old Coors Dr SW Ste D,Albuquerque,NM,87121,35.0714,-106.69911,109100.58,289553.09,398653.67,2022-12-02-154633
Gradys - Retail,111 N Main,Aztec,NM,87410,36.822063,-107.992899,44353.27,242769.0,287122.27,2022-12-02-154633
Grandmas Pot Shop Llc - Peralta,2 Valencia Rd,Peralta,NM,87042,34.81524,-106.69502,34450.28,80102.78,114553.06,2022-12-02-154633
Grassroots Grants Llc Dispensary Gallup,3400 East Hwy 66,Gallup,NM,87301,35.50481,-108.83635,166537.92,467704.04,634241.96,2022-12-02-154633
Grassroots Rx Dispensary,1005 Mesa Blvd.,Grants,NM,87357,35.160449,-107.834061,136860.25,256398.54,393258.79,2022-12-02-154633
Grassroots Rx Dispensary Albuquerque,3620 Bosque Plaza Lane NW,Albuquerque,NM,87120,35.158592,-106.678019,185289.68,234490.33,419780.01,2022-12-02-154633
Grassroots Rx Dispensary Albuquerque,3701 San Mateo Blvd. NE,Albuquerque,NM,87110,35.116409,-106.586451,54887.62,66006.62,120894.24,2022-12-02-154633
Green Fuego/ Retail Mallard Way B,7502 Mallard Way B,Santa Fe,NM,87507,35.63553,-106.06538,11472.1,25481.94,36954.04,2022-12-02-154633
Green Minded Holdings Llc,876 Highway 48,Alto,NM,88312,35.978924,-105.308068,93020.03,386370.38,479390.41,2022-12-02-154633
Green Minded Holdings Llc,2330 Sudderth Drive,Ruidoso,NM,88345,33.33139,-105.6697,37953.0,394125.5,432078.5,2022-12-02-154633
Green Remedy Enterprises Llc - Solano,590 S Solano,Las Cruces,NM,88001,32.30809,-106.76516,5629.68,16355.24,21984.92,2022-12-02-154633
"Green Therapy Dispensary, Llc","460 County Line Drive, Space F",Chaparral,NM,88081,32.03179,-106.37773,18338.8,119514.96,137853.76,2022-12-02-154633
Greengo Nm - Lohman Ave Retail,2000 E Lohman Ave Ste E,Las Cruces,NM,88001,32.31091,-106.75653,68091.09,273121.31,341212.4,2022-12-02-154633
H2H Distribution Llc,300 San Mateo Blvd SE,Albuquerque,NM,87108,35.075751,-106.58633,103060.13,378961.71,482021.84,2022-12-02-154633
H2H Distribution Llc,2400 Juan Tabo Blvd NE Suite B,Albuquerque,NM,87112,35.084103,-106.650985,9713.73,36251.28,45965.01,2022-12-02-154633
Happydaze Llc,5000 Jefferson St NE,Albuquerque,NM,87109,35.142281,-106.595766,46157.38,115539.31,161696.69,2022-12-02-154633
Harvest Foundation,150 South St. Francis Drive,Santa Fe,NM,87501,35.68804,-105.95452,240001.6,222196.43,462198.03,2022-12-02-154633
Harvest Foundation - Sudderth Dr,925 Sudderth Dr,Ruidoso,NM,88345,33.328558,-105.663388,52532.44,66747.23,119279.67,2022-12-02-154633
Harvest Foundation Albuquerque Dispensary,"220 Copper Avenue NW, Suite 110, Unit 4",Albuquerque,NM,87102,35.086165,-106.65618,622609.84,389123.34,1011733.18,2022-12-02-154633
Hashtag Cannabis Llc - Retail,2460 Missouri Ave,Las Cruces,NM,88001,32.296573,-106.752708,140038.48,330531.53,470570.01,2022-12-02-154633
Healing Herbz/ Retail N Main St,2320 N Main St,Clovis,NM,88101,34.42204,-103.20562,6937.88,7997.08,14934.96,2022-12-02-154633
Healthy Education Society,2409 W. Pierce Street,Carlsbad,NM,88220,32.439778,-104.255908,278252.57,188747.14,466999.71,2022-12-02-154633
Herrera Cannabis Company/ Retail Hwy 550,6404 Hwy 550,Cuba,NM,87013,36.019,-106.95994,8404.72,111067.34,119472.06,2022-12-02-154633
Hes- Retail,3306 Central Ave SE,Albuquerque,NM,87106,35.080948,-106.617689,137334.49,608646.07,745980.56,2022-12-02-154633
High Class/ Retail Agua Fria St Suite 10,2778 Agua Fria St Suite 5,Santa Fe,NM,87507,35.66483,-105.99294,19481.46,32332.8,51814.26,2022-12-02-154633
High Desert Cannabis Llc/ Retail Rio Grande Blvd Nw Suite B,2400 Rio Grande Blvd NW Suite B,Albuquerque,NM,87104,35.11797,-106.67492,504.81,94184.34,94689.14,2022-12-02-154633
High Desert Relief Dispensary,5041 Main Street,Santa Fe,NM,87507,35.436228,-106.12303,779151.03,578685.87,1357836.9,2022-12-02-154633
High Desert Relief Dispensary,3320-A Coors Blvd NW,Albuquerque,NM,87120,35.106803,-106.704488,1587340.52,655145.3,2242485.82,2022-12-02-154633
High Desert Relief Dispensary,4840-H Pan American East Freeway,Albuquerque,NM,87109,35.13641,-106.60167,2049349.22,662884.03,2712233.25,2022-12-02-154633
High Horse Investment Llc - Mcnutt Rd Retail,580 S. Valley Suite 300,Las Cruces,NM,88005,32.2913,-106.78413,18864.53,18679.77,37544.3,2022-12-02-154633
High Horse Investment Llc- County Line Dr Retail,545 S County Line Dr Ste B,Chaparral,NM,88081,32.03668,-106.37658,136230.82,428761.12,564991.94,2022-12-02-154633
High Noon Cannabis Llc - Franklin St Retail,629 N Franklin St,Hatch,NM,87937,32.67187,-107.15405,44.0,0.0,44.0,2022-12-02-154633
High Noon/ Retail W Aztec Blvd,2210 W Aztec Blvd,Aztec,NM,87410,36.82493,-108.03061,49.24,73904.02,73953.26,2022-12-02-154633
Honeybudz Llc - Main St Retail,9 Main St,Clayton,NM,88415,36.45164,-103.18504,12283.86,96509.58,108793.44,2022-12-02-154633
