SalesLicenseeId,Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
0c0fa4fc-9130-4b7f-9ff9-b0781c8bae6a,Budding Hope - San Mateo Retail,2621 San Mateo Blvd NE Ste B,ALBUQUERQUE,NM,87110,35.102909,-106.58681,619831.23,516183.54,1136014.77,2023-02-02-093117
3469ad67-2ef7-44b0-9435-1a96236fb155,Budding Industries Llc - Burro Ave Retail,504 Burro Ave,CLOUDCROFT,NM,88317,32.95855,-105.739787,40897.16,284623.46,325520.62,2023-02-02-093117
008da7a2-5222-4073-a6a1-7a83609ddcd7,Buffalo Bud Farming Co Llc - Retail,910 N Pope St,SILVER CITY,NM,88061,32.77495,-108.27596,100123.89,142223.67,242347.56,2023-02-02-093117
a4459ea5-7354-4b25-942c-2d10ade332f1,Bx3 Enterprises Llc - Retail,100 Mountain Park,ALBUQUERQUE,NM,87114,35.19464,-106.60708,3620.44,6387.74,10008.18,2023-02-02-093117
3ec638cc-9ddd-4b57-b95f-7e50783e9704,C.G. Corrigan Dispensery,1400 Main St. STE D,LOS LUNAS,NM,87031,34.804828,-106.705262,819326.61,839726.87,1659053.48,2023-02-02-093117
6f254b30-e0b1-47d3-8b0e-84d223aeaaaf,C.G. Corrigan-Santa Fe,802 Early St.,SANTA FE,NM,87505,35.67799,-105.95252,496133.07,455716.08,951849.15,2023-02-02-093117
9c9d9861-5ef8-4dba-97e4-2fe7f4d3eaac,Cannabias,1912 N Grimes,HOBBS,NM,88240,32.72014,-103.14454,189426.25,1019287.44,1208713.69,2023-02-02-093117
6818422e-0179-44e3-b7e4-99a10897fa60,Cannabias,1002 W Pierce,CARLSBAD,NM,88220,32.439778,-104.255908,73043.58,263264.67,336308.25,2023-02-02-093117
16fc4ff0-d403-4df0-971b-a7c2f06db915,Cannabliss - Madrid Retail,2883 A NM 14,MADRID,NM,87010,35.40877,-106.15175,33799.64,238223.65,272023.29,2023-02-02-093117
1945234c-9dce-40c1-899c-e90492d6e919,Cannaceutics Dispensary,"4316 Carlisle Blvd. NE, Suite D",ALBUQUERQUE,NM,87107,35.117814,-106.604084,665561.37,0.0,665561.37,2023-02-02-093117
0674abdd-f00c-4fbc-a1f0-448f33a61c15,Cannacollc - 4Th St Retail,4212 4th St NW,ALBUQUERQUE,NM,87107,35.13857,-106.641295,26436.79,91820.61,118257.4,2023-02-02-093117
0b8f4e55-c26f-4c42-b3f2-64b6e0d911e2,Cannaverse - Nevada Ave Retail,2305 Nevada Ave,LAS CRUCES,NM,88001,32.30317,-106.762334,119571.58,267664.72,387236.33,2023-02-02-093117
053e8f2f-5878-492f-b28c-67f5e5bc91cd,Canvas Organics Enterprises Llc,3000 San Pedro Drive NE Suite B,ALBUQUERQUE,NM,87110,35.084103,-106.650985,189928.44,451899.37,641827.8,2023-02-02-093117
3abc708a-81d0-4abf-b8a3-b24017888b31,Cardiel Botanica Ltd Co - Mcnutt Rd Retail,1685 McNutt,SUNLAND PARK,NM,88063,31.79606,-106.56921,1834.17,6841.04,8675.21,2023-02-02-093117
5a66d767-de97-47c3-81b2-c65d3160d807,Cardiel Botanica Ltd Co - Palomas Pl Retail,100 Palomas Pl Ste B-2,SUNLAND PARK,NM,88063,31.81202,-106.59384,30392.22,189979.5,220371.72,2023-02-02-093117
27923c20-a868-4884-9d4a-fe52e64e86ec,Carolinas Choice Llc/ Retail Enterprise Rd,1404 Enterprise Rd,SOCORRO,NM,87801,34.02840651490425,-106.92064046859741,41.27,228.0,269.27,2023-02-02-093117
